Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep) 
 08/01  06:00:00,16.3,75,34,1,22.6452251181152,53.9025533847157,15,24.7736663818359,75.5985791069277,66.7060661438727,11504.0302065714,0,11504.0302065714,1,61620.9452552657,0,0,52205.1198423899,11504.0302065714,0,0
 08/01  06:05:00,16.2666666666667,75.1666666666667,38.1666666666667,1.16666666666667,22.6147924122813,54.0006484255296,15,24.7530002593994,75.4186074815755,66.7379146831301,0,3198.85838353729,-3198.85838353729,1,53108.8580097557,0,0,58653.8712430135,0,3198.85838353729,0
 08/01  06:10:00,16.2333333333333,75.3333333333333,42.3333333333333,1.33333333333333,22.5879422878844,54.0904998953493,15,24.7426662445068,75.2081017908422,66.7604826640729,0,9359.53263009455,-9359.53263009455,1,53108.8580097557,0,0,65071.240249844,0,9359.53263009455,0
 08/01  06:15:00,16.2,75.5,46.5,1.5,22.5620720863363,54.1788148764619,15,24.7323341369629,74.9785404143785,66.7780159152292,0,15513.6363470129,-15513.6363470129,1,53108.8580097557,0,0,71481.7649549673,0,15513.6363470129,0
 08/01  06:20:00,16.1666666666667,75.6666666666667,50.6666666666667,1.66666666666667,22.5360769168775,54.2682570562796,15,24.7220001220703,74.7391789853679,66.7938788531223,0,21688.8138765504,-21688.8138765504,1,53108.8580097557,0,0,77914.2415482355,0,21688.8138765504,0
 08/01  06:25:00,16.1333333333333,75.8333333333333,54.8333333333333,1.83333333333333,22.5098995367418,54.3587213004367,15,24.7116661071777,74.4954187381985,66.8094482788139,0,27883.5854117296,-27883.5854117296,1,53108.8580097557,0,0,84367.1285640471,0,27883.5854117296,0
 08/01  06:30:00,16.1,76,59,2,22.4838153041954,54.4492727796609,15,24.7013339996338,74.2506760376859,66.8248708823077,0,34096.8001797661,-34096.8001797661,1,53108.8580097557,0,0,90839.2272807518,0,34096.8001797661,0
 08/01  06:35:00,16.0666666666667,76.1666666666667,63.8333333333333,7.58333333333334,22.4587929333656,54.5367271577258,15,24.6909999847412,74.0100818990348,66.8399457982889,0,42939.1028987796,-42939.1028987796,1,53108.8580097557,0,0,100049.959279724,0,42939.1028987796,0
 08/01  06:40:00,16.0333333333333,76.3333333333333,68.6666666666667,13.1666666666667,22.4354083027697,54.6191680938624,15,24.6806659698486,73.7631423828575,66.8545068557057,0,52148.8036815249,-52148.8036815249,1,53108.8580097557,0,0,109643.397595084,0,52148.8036815249,0
 08/01  06:45:00,16,76.5,73.5,18.75,22.4148673231408,54.692557914273,15,24.6703338623047,73.4953519011048,66.8684195637641,0,61858.3876754349,-61858.3876754349,1,53108.8580097557,0,0,119757.54758874,0,61858.3876754349,0
 08/01  06:50:00,15.9666666666667,76.6666666666667,78.3333333333333,24.3333333333333,22.3966490933275,54.7585897124195,15,24.6599998474121,73.1932886991644,66.8814951321941,0,71817.8089062131,-71817.8089062131,1,53108.8580097557,0,0,130131.944704134,0,71817.8089062131,0
 08/01  06:55:00,15.9333333333333,76.8333333333333,83.1666666666667,29.9166666666667,22.3799164092498,54.820025011897,15,24.6496658325195,72.8474212795544,66.8933933569462,0,82114.7493367096,-82114.7493367096,1,53108.8580097557,0,0,140857.924319235,0,82114.7493367096,0
 08/01  07:00:00,15.9,77,88,35.5,22.3641966276788,54.8784233476511,15,24.6393337249756,72.4530751076689,66.9038165707777,0,92746.2738299087,-92746.2738299087,1,53108.8580097557,0,0,151932.42899965,0,92746.2738299087,0
 08/01  07:05:00,15.8833333333333,77.0833333333333,92.8333333333333,41.0833333333333,22.3436228304134,54.9466817652345,15,24.628999710083,72.0090623516784,66.9148982634381,18486.7796930546,0,18486.7796930546,1,175304.883058733,0,0,163352.191005915,18486.7796930546,0,0
 08/01  07:10:00,15.8666666666667,77.1666666666667,97.6666666666667,46.6666666666667,22.3216170983841,55.0155659453447,15,24.6238327026367,71.5112614541377,66.9265887493669,1523100.65717048,0,1523100.65717048,1,1691209.82465167,0,0,175113.716126238,1523100.65717048,0,0
 08/01  07:15:00,15.85,77.25,102.5,52.25,22.3017998832504,55.0757829431569,15,24.6186676025391,70.9512340669952,66.9382934486054,0,132306.116710308,-132306.116710308,1,47418.6232229961,0,0,187213.270763858,0,132306.116710308,0
 08/01  07:20:00,15.8333333333333,77.3333333333333,107.333333333333,57.8333333333333,22.285385525068,55.1246095424446,15,24.6135005950928,70.3223099394959,66.9493498818185,0,144242.373716395,-144242.373716395,1,47418.6232229961,0,0,199646.871811866,0,144242.373716395,0
 08/01  07:25:00,15.8166666666667,77.4166666666667,112.166666666667,63.4166666666667,22.2717852602236,55.1643510748738,15,24.6083335876465,69.6226102450622,66.9588842293071,0,156495.244504432,-156495.244504432,1,47418.6232229961,0,0,212410.278882738,0,156495.244504432,0
 08/01  07:30:00,15.8,77.5,117,69,22.2622121268893,55.1908990355624,15,24.6031665802002,68.8540837316019,66.9664615208316,0,170912.742459652,-170912.742459652,1,47418.6232229961,0,0,227428.505919425,0,170912.742459652,0
 08/01  07:35:00,15.7833333333333,77.5833333333333,120.916666666667,83.8333333333333,22.2563362045574,55.2052835856001,15,24.5979995727539,68.0175952310399,66.9719329043214,0,188653.159443466,-188653.159443466,1,47418.6232229961,0,0,245908.106944232,0,188653.159443466,0
 08/01  07:40:00,15.7666666666667,77.6666666666667,124.833333333333,98.6666666666667,22.2533138884886,55.2102996969704,15,24.5928325653076,67.1087361753914,66.9751715059146,0,207201.272257452,-207201.272257452,1,47418.6232229961,0,0,265229.057792134,0,207201.272257452,0
 08/01  07:45:00,15.75,77.75,128.75,113.5,22.252504669153,55.2081017159205,15,24.58766746521,66.1199248696188,66.9759727635449,0,226545.596597239,-226545.596597239,1,47418.6232229961,0,0,285379.395646079,0,226545.596597239,0
